date,hour,numberOfLanes,numberOfBlocks
6/7,12:00 PM,1,3
6/7,1:00 PM,1,3
6/7,2:00 PM,1,3
6/7,3:00 PM,1,2
6/7,4:00 PM,1,2
6/7,5:00 PM,1,2
6/7,6:00 PM,1,2
6/7,7:00 PM,1,2
6/7,8:00 PM,1,2
6/7,9:00 PM,1,2
6/7,10:00 PM,1,2
6/7,11:00 PM,1,2
6/8,12:00 AM,1,2
6/8,1:00 AM,1,2
6/8,2:00 AM,1,2
6/8,3:00 AM,1,2
6/8,4:00 AM,1,2
6/8,5:00 AM,1,2
6/8,6:00 AM,1,2
6/8,7:00 AM,1,2
6/8,8:00 AM,1,2
6/8,9:00 AM,1,2
6/8,10:00 AM,1,2
6/8,11:00 AM,1,2
6/8,12:00 PM,1,2
6/8,1:00 PM,1,2
6/8,2:00 PM,1,2
6/8,3:00 PM,1,2
6/8,4:00 PM,1,2
6/8,5:00 PM,1,2
6/8,6:00 PM,1,2
6/8,7:00 PM,1,2
6/8,8:00 PM,1,2
6/8,9:00 PM,1,2
6/8,10:00 PM,1,2
6/8,11:00 PM,1,2
6/9,12:00 AM,1,2
6/9,1:00 AM,1,2
6/9,2:00 AM,1,2
6/9,3:00 AM,1,2
6/9,9:00 AM,1,1
6/9,10:00 AM,1,1
6/9,11:00 AM,1,1
6/9,12:00 PM,1,1
6/9,1:00 PM,1,1
6/9,2:00 PM,1,1
6/9,7:00 PM,1,7
6/9,8:00 PM,1,7
6/9,9:00 PM,1,7
6/9,10:00 PM,1,7
6/9,11:00 PM,1,7
6/10,12:00 AM,1,7
6/10,1:00 AM,1,7
6/10,2:00 AM,1,7
6/10,3:00 AM,1,7
6/10,4:00 AM,1,7
6/10,9:00 AM,1,1
6/10,10:00 AM,1,1
6/10,11:00 AM,1,1
6/10,12:00 PM,1,1
6/10,1:00 PM,1,1
6/10,2:00 PM,1,1
6/10,7:00 PM,1,7
6/10,8:00 PM,1,7
6/10,9:00 PM,1,7
6/10,10:00 PM,1,7
6/10,11:00 PM,1,7
6/11,12:00 AM,1,7
6/11,1:00 AM,1,7
6/11,2:00 AM,1,7
6/11,3:00 AM,1,7
6/11,4:00 AM,1,7
6/11,9:00 AM,1,1
6/11,10:00 AM,1,1
6/11,11:00 AM,1,1
6/11,12:00 PM,1,1
6/11,1:00 PM,1,1
6/11,2:00 PM,1,1
6/14,7:00 AM,1,1
6/14,8:00 AM,1,1
6/14,9:00 AM,1,1
6/14,10:00 AM,1,1
6/14,11:00 AM,1,1
6/14,12:00 PM,1,1
6/14,1:00 PM,1,1
6/14,2:00 PM,1,1
6/14,3:00 PM,1,1
6/14,4:00 PM,1,1
6/14,5:00 PM,1,1
6/14,6:00 PM,1,1
6/14,7:00 PM,1,1
6/14,8:00 PM,1,1
6/14,9:00 PM,1,1
6/14,10:00 PM,1,1
6/14,11:00 PM,1,1
6/15,12:00 AM,1,1
6/15,1:00 AM,1,1
6/15,2:00 AM,1,1
6/15,3:00 AM,1,1
6/15,4:00 AM,1,1
6/15,5:00 AM,1,1
6/15,6:00 AM,1,1
6/15,7:00 AM,1,1
6/15,8:00 AM,1,1
6/15,9:00 AM,1,1
6/15,10:00 AM,1,1
6/15,11:00 AM,1,1
6/15,12:00 PM,1,1
6/15,1:00 PM,1,1
6/15,2:00 PM,1,1
6/15,3:00 PM,1,1
6/15,4:00 PM,1,1
6/15,5:00 PM,1,1
6/15,6:00 PM,1,1
6/15,7:00 PM,1,1
6/15,8:00 PM,1,1
6/15,9:00 PM,1,1
6/15,10:00 PM,1,1
6/15,11:00 PM,1,1
6/16,12:00 AM,1,1
6/16,1:00 AM,1,1
6/16,2:00 AM,1,1
6/16,3:00 AM,1,1
6/16,4:00 AM,1,1
