date,hour,numberOfLanes,numberOfBlocks
4/27,8:00 PM,1,2
4/27,9:00 PM,1,2
4/27,10:00 PM,1,2
4/27,11:00 PM,1,2
4/28,12:00 AM,1,2
4/28,1:00 AM,1,2
4/28,2:00 AM,1,2
4/28,3:00 AM,1,2
4/28,4:00 AM,1,2
4/28,5:00 AM,1,2
5/2,9:00 AM,1,3
5/2,10:00 AM,1,3
5/2,11:00 AM,1,3
5/2,12:00 PM,1,3
5/2,1:00 PM,1,3
5/2,2:00 PM,1,3
5/3,7:00 AM,1,2
5/3,8:00 AM,1,2
5/3,9:00 AM,1,2
5/3,10:00 AM,1,2
5/3,11:00 AM,1,2
5/3,12:00 PM,1,2
5/3,1:00 PM,1,2
5/3,2:00 PM,1,2
5/3,3:00 PM,1,2
5/3,4:00 PM,1,2
5/3,5:00 PM,1,2
5/3,6:00 PM,1,2
5/3,7:00 PM,1,2
5/3,8:00 PM,1,2
5/3,9:00 PM,1,2
5/3,10:00 PM,1,2
5/3,11:00 PM,1,2
5/4,12:00 AM,1,2
5/4,1:00 AM,1,2
5/4,2:00 AM,1,2
5/4,3:00 AM,1,2
5/4,4:00 AM,1,2
5/4,5:00 AM,1,2
5/4,6:00 AM,1,2
5/4,7:00 AM,1,2
5/4,8:00 AM,1,2
5/4,9:00 AM,1,2
5/4,10:00 AM,1,2
5/4,11:00 AM,1,2
5/4,12:00 PM,1,2
5/4,1:00 PM,1,2
5/4,2:00 PM,1,2
5/4,3:00 PM,1,2
5/4,4:00 PM,1,2
5/4,5:00 PM,1,2
5/4,6:00 PM,1,2
5/4,7:00 PM,1,2
5/4,8:00 PM,1,2
5/4,9:00 PM,1,2
5/4,10:00 PM,1,2
5/4,11:00 PM,1,2
5/5,12:00 AM,1,2
5/5,1:00 AM,1,2
5/5,2:00 AM,1,2
5/5,3:00 AM,1,2
5/5,4:00 AM,1,2
5/6,9:00 AM,1,2
5/6,10:00 AM,1,2
5/6,11:00 AM,1,2
5/6,12:00 PM,1,2
5/6,1:00 PM,1,2
5/6,2:00 PM,1,2
5/6,3:00 PM,1,2
5/7,9:00 AM,1,2
5/7,10:00 AM,1,2
5/7,11:00 AM,1,2
5/7,12:00 PM,1,2
5/7,1:00 PM,1,2
5/7,2:00 PM,1,2
5/7,3:00 PM,1,2
5/9,9:00 AM,1,3
5/9,10:00 AM,1,3
5/9,11:00 AM,1,3
5/9,12:00 PM,1,3
5/9,1:00 PM,1,3
5/9,2:00 PM,1,3
5/9,3:00 PM,1,3
5/10,9:00 AM,1,2
5/10,10:00 AM,1,2
5/10,11:00 AM,1,2
5/10,12:00 PM,1,2
5/10,1:00 PM,1,2
5/10,2:00 PM,1,2
5/10,3:00 PM,1,2
5/10,11:00 PM,1,1
5/11,12:00 AM,1,1
5/11,1:00 AM,1,1
5/11,2:00 AM,1,1
5/11,3:00 AM,1,1
5/11,4:00 AM,1,1
5/11,5:00 AM,1,1
5/11,6:00 AM,1,1
5/11,7:00 AM,1,1
5/12,9:00 AM,1,3
5/12,10:00 AM,1,3
5/12,11:00 AM,1,3
5/12,12:00 PM,1,3
5/12,1:00 PM,1,3
5/12,2:00 PM,1,3
5/13,9:00 AM,1,3
5/13,10:00 AM,1,3
5/13,11:00 AM,1,3
5/13,12:00 PM,1,3
5/13,1:00 PM,1,3
5/13,2:00 PM,1,3
5/14,9:00 AM,1,3
5/14,10:00 AM,1,3
5/14,11:00 AM,1,3
5/14,12:00 PM,1,3
5/14,1:00 PM,1,4
5/14,2:00 PM,1,4
5/14,7:00 PM,1,7
5/14,8:00 PM,1,7
5/14,9:00 PM,1,7
5/14,10:00 PM,1,7
5/14,11:00 PM,1,7
5/15,12:00 AM,1,7
5/15,1:00 AM,1,7
5/15,2:00 AM,1,7
5/15,3:00 AM,1,7
5/15,4:00 AM,1,7
5/15,9:00 AM,1,2
5/15,10:00 AM,1,2
5/15,11:00 AM,1,2
5/15,12:00 PM,1,2
5/15,1:00 PM,1,2
5/15,2:00 PM,1,2
5/15,3:00 PM,1,2
5/15,7:00 PM,1,7
5/15,8:00 PM,1,7
5/15,9:00 PM,1,7
5/15,10:00 PM,1,7
5/15,11:00 PM,1,7
5/16,12:00 AM,1,7
5/16,1:00 AM,1,7
5/16,2:00 AM,1,7
5/16,3:00 AM,1,7
5/16,4:00 AM,1,7
5/16,9:00 AM,1,2
5/16,10:00 AM,1,2
5/16,11:00 AM,1,2
5/16,12:00 PM,1,2
5/16,1:00 PM,1,2
5/16,2:00 PM,1,2
5/17,11:00 PM,1,1
5/18,12:00 AM,1,2
5/18,1:00 AM,1,2
5/18,2:00 AM,1,2
5/18,3:00 AM,1,2
5/18,4:00 AM,1,2
5/18,5:00 AM,1,2
5/18,6:00 AM,1,2
5/18,7:00 AM,1,2
5/18,8:00 AM,1,2
5/18,9:00 AM,1,2
5/18,10:00 AM,1,2
5/18,11:00 AM,1,2
5/18,12:00 PM,1,2
5/18,1:00 PM,1,2
5/18,2:00 PM,1,2
5/18,3:00 PM,1,2
5/18,4:00 PM,1,2
5/18,5:00 PM,1,2
5/18,6:00 PM,1,2
5/18,7:00 PM,1,2
5/18,8:00 PM,1,2
5/18,9:00 PM,1,2
5/18,10:00 PM,1,2
5/18,11:00 PM,1,2
5/19,12:00 AM,1,2
5/19,1:00 AM,1,2
5/19,2:00 AM,1,2
5/19,3:00 AM,1,2
5/19,4:00 AM,1,2
5/19,5:00 AM,1,1
5/19,6:00 AM,1,1
5/19,7:00 AM,1,1
5/19,9:00 AM,1,4
5/19,10:00 AM,1,4
5/19,11:00 AM,1,4
5/19,12:00 PM,1,4
5/19,1:00 PM,1,4
5/19,2:00 PM,1,4
5/20,9:00 AM,1,4
5/20,10:00 AM,1,4
5/20,11:00 AM,1,4
5/20,12:00 PM,1,4
5/20,1:00 PM,1,4
5/20,2:00 PM,1,4
5/21,9:00 AM,1,4
5/21,10:00 AM,1,4
5/21,11:00 AM,1,4
5/21,12:00 PM,1,4
5/21,1:00 PM,1,4
5/21,2:00 PM,1,4
5/22,9:00 AM,1,4
5/22,10:00 AM,1,4
5/22,11:00 AM,1,4
5/22,12:00 PM,1,4
5/22,1:00 PM,1,4
5/22,2:00 PM,1,4
5/23,9:00 AM,1,2
5/23,10:00 AM,1,2
5/23,11:00 AM,1,2
5/23,12:00 PM,1,2
5/23,1:00 PM,1,2
5/23,2:00 PM,1,2
